BCR 0bp
ABL1 0bp
MSH6 0bp
PIK3CA 0bp
INPPL1 0bp
BRAF 0bp
TP53 0bp
SF3B1 0bp
EGFR 0bp
NRAS 0bp
U2AF1 0bp
AR 0bp
FGFR3 0bp
APC 0bp
CDKN2A 0bp
CTNNB1 0bp
GNAS 0bp
SMAD4 0bp
IDH2 0bp
XPO1 0bp
ERBB2 0bp
PTEN 0bp
ARFGEF2 0bp
MGA 0bp
TTF2 0bp
LATS1 0bp
ZKSCAN5 0bp
MFSD12 0bp
SLC23A2 0bp
MKI67 0bp
TAF1B 0bp
SETD5 0bp
KIF20B 0bp
SACS 0bp
PLCB3 0bp
COX10 0bp
SLC39A11 0bp
MDN1 0bp
ZNF609 0bp
RNF216 0bp
BRD9 0bp
TBC1D13 0bp
TTC19 0bp
CCDC88C 0bp
ARID4A 0bp
COPG1 0bp
AKAP9 0bp
KMT2C 0bp
SBNO1 0bp
ANO10 0bp
PARP9 0bp
GLB1 0bp
LMTK2 0bp
NCBP1 0bp
SPN 0bp
HTT 0bp
CEP350 0bp
USP24 0bp
MCM10 0bp
ERAP1 0bp
MADD 0bp
TRAPPC11 0bp
QSOX2 0bp
C15orf39 0bp
FMR1 0bp
INSR 0bp
MON1A 0bp
JAK2 0bp
